,age_group,amazon_product_url,article_chapter_link,asterisk,author,book_image,book_image_height,book_image_width,book_review_link,book_uri,buy_links,contributor,contributor_note,dagger,description,first_chapter_link,isbns,price,primary_isbn10,primary_isbn13,publisher,rank,rank_last_week,sunday_review_link,title,weeks_on_list
8,,https://www.amazon.com/Long-Road-Mercy-Atlee-Pine/dp/1538761572?tag=NYTBS-20,,0,David Baldacci,https://s1.nyt.com/du/books/images/9781538761571.jpg,495,328,,nyt://book/04e059bc-9dd0-52da-9952-0f7ea56707f8,"[{'name': 'Local Booksellers', 'url': 'http://www.indiebound.org/book/9781538761571?aff=NYT'}, {'name': 'Barnes and Noble', 'url': 'http://www.anrdoezrs.net/click-7990613-11819508?url=http%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781538761571'}, {'name': 'Amazon', 'url': 'https://www.amazon.com/Long-Road-Mercy-Atlee-Pine/dp/1538761572?tag=NYTBS-20'}]",by David Baldacci,,0,"Atlee Pine, an F.B.I. agent who is haunted by the childhood kidnapping of her twin sister, must choose between protecting her career or the United States' democracy.",,"[{'isbn10': '1538761572', 'isbn13': '9781538761571'}, {'isbn10': '1538714701', 'isbn13': '9781538714706'}, {'isbn10': '1478999284', 'isbn13': '9781478999287'}, {'isbn10': '1549194739', 'isbn13': '9781549194733'}, {'isbn10': '1549194720', 'isbn13': '9781549194726'}, {'isbn10': '1478999292', 'isbn13': '9781478999294'}, {'isbn10': '1549176277', 'isbn13': '9781549176272'}, {'isbn10': '153876153X', 'isbn13': '9781538761533'}]",0,1538761572,9781538761571,Grand Central Publishing,9,8,,LONG ROAD TO MERCY,3
9,,https://www.amazon.com/Look-Alive-Twenty-Five-Stephanie-Novel-ebook/dp/B07B2JQHH8?tag=NYTBS-20,,0,Janet Evanovich,https://s1.nyt.com/du/books/images/9780399179235.jpg,495,327,,nyt://book/14c79426-7e4c-5841-81d7-c3ec6a62fef0,"[{'name': 'Local Booksellers', 'url': 'http://www.indiebound.org/book/9780399179228?aff=NYT'}, {'name': 'Barnes and Noble', 'url': 'http://www.anrdoezrs.net/click-7990613-11819508?url=http%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780399179228'}, {'name': 'Amazon', 'url': 'https://www.amazon.com/Look-Alive-Twenty-Five-Stephanie-Novel-ebook/dp/B07B2JQHH8?tag=NYTBS-20'}]",by Janet Evanovich,,0,"The 25th book in the Stephanie Plum series. When several managers of a deli in Trenton disappear, a bounty hunter and her detective boyfriend look for clues.",,"[{'isbn10': '0399179224', 'isbn13': '9780399179228'}, {'isbn10': '0399179232', 'isbn13': '9780399179235'}, {'isbn10': '0525501401', 'isbn13': '9780525501404'}, {'isbn10': '0525501398', 'isbn13': '9780525501398'}]",0,0399179224,9780399179228,Putnam,10,5,,LOOK ALIVE TWENTY-FIVE,3
10,,https://www.amazon.com/Nine-Perfect-Strangers-Liane-Moriarty-ebook/dp/B07C75GRLY?tag=NYTBS-20,,0,Liane Moriarty,https://s1.nyt.com/du/books/images/9781250069849.jpg,493,330,https://www.nytimes.com/2018/11/21/books/review/liane-moriarty-nine-perfect-strangers.html,nyt://book/9238d95f-a22b-511f-9655-4cb6df237ce5,"[{'name': 'Local Booksellers', 'url': 'http://www.indiebound.org/book/9781250069825?aff=NYT'}, {'name': 'Barnes and Noble', 'url': 'http://www.anrdoezrs.net/click-7990613-11819508?url=http%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781250069825'}, {'name': 'Amazon', 'url': 'https://www.amazon.com/Nine-Perfect-Strangers-Liane-Moriarty-ebook/dp/B07C75GRLY?tag=NYTBS-20'}]",by Liane Moriarty,,0,A romance writer becomes fascinated by the owner and director of a health resort.,,"[{'isbn10': '1250069823', 'isbn13': '9781250069825'}, {'isbn10': '125006984X', 'isbn13': '9781250069849'}, {'isbn10': '1432859005', 'isbn13': '9781432859008'}, {'isbn10': '1427299145', 'isbn13': '9781427299147'}]",0,1250069823,9781250069825,Flatiron,11,10,,NINE PERFECT STRANGERS,4
11,,https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens/dp/0735219095?tag=NYTBS-20,,0,Delia Owens,https://s1.nyt.com/du/books/images/9780735219090.jpg,495,328,,nyt://book/035f3630-d500-57ed-9477-8722a648da0d,"[{'name': 'Local Booksellers', 'url': 'http://www.indiebound.org/book/9780735219113?aff=NYT'}, {'name': 'Barnes and Noble', 'url': 'http://www.anrdoezrs.net/click-7990613-11819508?url=http%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780735219113'}, {'name': 'Amazon', 'url': 'https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens/dp/0735219095?tag=NYTBS-20'}]",by Delia Owens,,0,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",,"[{'isbn10': '0735219095', 'isbn13': '9780735219090'}, {'isbn10': '0735219117', 'isbn13': '9780735219113'}, {'isbn10': '0525640371', 'isbn13': '9780525640370'}, {'isbn10': '0593105419', 'isbn13': '9780593105412'}]",0,0735219117,9780735219113,Putnam,12,12,,WHERE THE CRAWDADS SING,12
12,,https://www.amazon.com/Sacred-Night-Ballard-Bosch-Novel-ebook/dp/B0796R3RR4?tag=NYTBS-20,,0,Michael Connelly,https://s1.nyt.com/du/books/images/9780316486675.jpg,495,320,,nyt://book/6927f115-73f3-5741-8b85-932ac3d6fa33,"[{'name': 'Local Booksellers', 'url': 'http://www.indiebound.org/book/9780316484800?aff=NYT'}, {'name': 'Barnes and Noble', 'url': 'http://www.anrdoezrs.net/click-7990613-11819508?url=http%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780316484800'}, {'name': 'Amazon', 'url': 'https://www.amazon.com/Sacred-Night-Ballard-Bosch-Novel-ebook/dp/B0796R3RR4?tag=NYTBS-20'}]",by Michael Connelly,,0,"Detective Renée Ballard teams up with the retired detective Harry Bosch, who is working on a cold case.",,"[{'isbn10': '0316484806', 'isbn13': '9780316484800'}, {'isbn10': '031652672X', 'isbn13': '9780316526722'}, {'isbn10': '0316486671', 'isbn13': '9780316486675'}, {'isbn10': '1549142321', 'isbn13': '9781549142321'}, {'isbn10': '1549142305', 'isbn13': '9781549142307'}, {'isbn10': '1549121049', 'isbn13': '9781549121043'}, {'isbn10': '1549121057', 'isbn13': '9781549121050'}, {'isbn10': '1549142313', 'isbn13': '9781549142314'}, {'isbn10': '1549142291', 'isbn13': '9781549142291'}, {'isbn10': '1538731754', 'isbn13': '9781538731758'}]",0,0316484806,9780316484800,"Little, Brown",13,4,,DARK SACRED NIGHT,5
13,,https://www.amazon.com/Someone-Trust-Westcott-Novel-Book-ebook/dp/B07B78CVNY?tag=NYTBS-20,,0,Mary Balogh,https://s1.nyt.com/du/books/images/9780399586118.jpg,495,308,,nyt://book/9eb229e0-8d0a-5f9f-b77c-c530f3897936,"[{'name': 'Local Booksellers', 'url': 'http://www.indiebound.org/book/9780399586118?aff=NYT'}, {'name': 'Barnes and Noble', 'url': 'http://www.anrdoezrs.net/click-7990613-11819508?url=http%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780399586118'}, {'name': 'Amazon', 'url': 'https://www.amazon.com/Someone-Trust-Westcott-Novel-Book-ebook/dp/B07B78CVNY?tag=NYTBS-20'}]",by Mary Balogh,,0,The widowed Lady Overfield falls for the younger Lord Hodges during a white Christmas at Brambledean Court.,,"[{'isbn10': '0399586113', 'isbn13': '9780399586118'}, {'isbn10': '0399586105', 'isbn13': '9780399586101'}]",0,0399586113,9780399586118,Berkley,14,0,,SOMEONE TO TRUST,1
14,,https://www.amazon.com/Elevation-Stephen-King/dp/1982102314?tag=NYTBS-20,,0,Stephen King,https://s1.nyt.com/du/books/images/9781982102319.jpg,465,330,https://www.nytimes.com/2018/10/26/books/review/stephen-king-elevation.html,nyt://book/5426023b-10bf-5358-8b1b-fd9632867077,"[{'name': 'Local Booksellers', 'url': 'http://www.indiebound.org/book/9781982102319?aff=NYT'}, {'name': 'Barnes and Noble', 'url': 'http://www.anrdoezrs.net/click-7990613-11819508?url=http%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781982102319'}, {'name': 'Amazon', 'url': 'https://www.amazon.com/Elevation-Stephen-King/dp/1982102314?tag=NYTBS-20'}]",by Stephen King,,0,A man who is losing weight without getting thinner forms an unlikely alliance with his neighbors who are dealing with prejudices.,,"[{'isbn10': '1982102314', 'isbn13': '9781982102319'}, {'isbn10': '1982102330', 'isbn13': '9781982102333'}, {'isbn10': '1432858068', 'isbn13': '9781432858063'}]",0,1982102314,9781982102319,Scribner,15,13,,ELEVATION,5
0,,https://www.amazon.com/Fire-Blood-Thrones-Targaryen-History/dp/152479628X?tag=NYTBS-20,,0,George RR Martin,https://s1.nyt.com/du/books/images/9781524796280.jpg,495,326,,nyt://book/afc6c8b8-532c-559e-a0d1-2eb6cd094f7d,"[{'name': 'Local Booksellers', 'url': 'http://www.indiebound.org/book/9781524796280?aff=NYT'}, {'name': 'Barnes and Noble', 'url': 'http://www.anrdoezrs.net/click-7990613-11819508?url=http%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781524796280'}, {'name': 'Amazon', 'url': 'https://www.amazon.com/Fire-Blood-Thrones-Targaryen-History/dp/152479628X?tag=NYTBS-20'}]",by George R.R. Martin,,0,"Set 300 years before the events of “A Game of Thrones,” this is the first volume of the two-part history of the Targaryens in Westeros.",,"[{'isbn10': '152479628X', 'isbn13': '9781524796280'}, {'isbn10': '1524796298', 'isbn13': '9781524796297'}, {'isbn10': '1984838695', 'isbn13': '9781984838698'}]",0,152479628X,9781524796280,Bantam,1,0,,FIRE AND BLOOD,1
1,,https://www.amazon.com/Target-Alex-Cross-James-Patterson-ebook/dp/B07C4Q7JX8?tag=NYTBS-20,,0,James Patterson,https://s1.nyt.com/du/books/images/9780316417501.jpg,495,320,,nyt://book/1cf5a0da-cf82-540d-be56-dfece7cbe67d,"[{'name': 'Local Booksellers', 'url': 'http://www.indiebound.org/book/9780316417501?aff=NYT'}, {'name': 'Barnes and Noble', 'url': 'http://www.anrdoezrs.net/click-7990613-11819508?url=http%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780316417501'}, {'name': 'Amazon', 'url': 'https://www.amazon.com/Target-Alex-Cross-James-Patterson-ebook/dp/B07C4Q7JX8?tag=NYTBS-20'}]",by James Patterson,,0,Alex Cross returns for the 26th book in the series bearing his name.,,"[{'isbn10': '0316273945', 'isbn13': '9780316273947'}, {'isbn10': '0316417505', 'isbn13': '9780316417501'}, {'isbn10': '1538713764', 'isbn13': '9781538713761'}]",0,0316417505,9780316417501,"Little, Brown",2,0,,TARGET: ALEX CROSS,1
2,,https://www.amazon.com/Reckoning-Novel-John-Grisham-ebook/dp/B079DBS447?tag=NYTBS-20,,0,John Grisham,https://s1.nyt.com/du/books/images/9780385544160.jpg,495,326,,nyt://book/3ee62d10-7341-5e71-8603-2acc2eeaaa0d,"[{'name': 'Local Booksellers', 'url': 'http://www.indiebound.org/book/9780385544153?aff=NYT'}, {'name': 'Barnes and Noble', 'url': 'http://www.anrdoezrs.net/click-7990613-11819508?url=http%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780385544153'}, {'name': 'Amazon', 'url': 'https://www.amazon.com/Reckoning-Novel-John-Grisham-ebook/dp/B079DBS447?tag=NYTBS-20'}]",by John Grisham,,0,A decorated World War II veteran shoots and kills a pastor inside a Mississippi church.,,"[{'isbn10': '0385544154', 'isbn13': '9780385544153'}, {'isbn10': '0385544162', 'isbn13': '9780385544160'}, {'isbn10': '052563925X', 'isbn13': '9780525639251'}, {'isbn10': '0525639292', 'isbn13': '9780525639299'}, {'isbn10': '0385544170', 'isbn13': '9780385544177'}, {'isbn10': '1984819585', 'isbn13': '9781984819581'}, {'isbn10': '0525620931', 'isbn13': '9780525620938'}]",0,0385544154,9780385544153,Doubleday,3,4,,THE RECKONING,5
